"system_requirements","Windows Nバージョンには、MicrosoftのMedia Feature Packが必要です。Windows 7ではAeroを有効にしてください。ハイコントラストモードはサポートされていません。最大解像度はWindows 8/10/11では4K、Windows 7では1080pとなっています。"
"description_short","美しいライブ壁紙をデスクトップに。自分の画像にアニメーション効果を追加して新しい壁紙を作成したり、動画やウェブサイトをインポートすることが可能。さらに、壁紙はSteamワークショップで共有することもできます！"
"description_long","Wallpaper Engineを使えば、Windowsのデスクトップにライブ壁紙の設定ができるようになります。3Dならびに2Dアニメーション、ウェブサイト、動画ならびに特定のアプリケーションなど、さまざまなタイプの動く壁紙がサポートされています。さらに、すでにお持ちの壁紙、または自分で作成した壁紙をSteamワークショップで共有することも可能です！また、Wallpaper EngineのAndroid用無料コンパニオンアプリを使えば、お気に入りの壁紙をAndroidモバイルデバイスに転送することができ、どこでもライブ壁紙を楽しむことが可能になります。

[b]]【新機能】[/b] Android用無料コンパニオンアプリを使用して、お気に入りの壁紙をAndroidモバイルデバイスに転送することが可能に。 

[img]{STEAM_APP_IMAGE}/extras/title_features.png[/img]

[list]
[*]リアルタイムグラフィック、ビデオ、アプリケーションまたはウェブサイトを使用し、デスクトップの壁紙に命を吹き込もう。
[*]PC未使用時、動くスクリーンセーバーを表示。
[*]動く壁紙をお気に入りの色でカスタマイズ。
[*]マウスで操作可能なインタラクティブ壁紙。
[*]16:9/21:9/16:10/4:3などの幅広いアスペクト比とネイティブ解像度をサポート。
[*]マルチモニター環境対応済み。
[*]パフォーマンス向上を図るため、ゲームプレイ中、壁紙は一時的に停止。
[*]Wallpaper Engineエディタで自分だけの動く壁紙を作成。
[*]一般的な画像に動く要素を追加。または壁紙に使用するHTMLあるいは動画ファイルをインポート。
[*]Steamワークショップでは壁紙の共有と無料ダウンロードが可能。
[*]Wallpaper Engineは他のSteamのゲームまたはアプリケーションと同時起動が可能。
[*]mp4/WebM/avi/m4v/mov/wmvなどの動画ファイル形式をサポート（ローカルファイルの場合、ワークショップでサポートされるのはmp4のみ)。
[*]Android用無料コンパニオンアプリを使用して、お気に入りのシーンや動く壁紙を自由に持ち歩くことが可能。
[*]Razer ChromaならびにCorsair iCUEをサポート
[/list]

[img]{STEAM_APP_IMAGE}/extras/partners.png[/img]

[img]{STEAM_APP_IMAGE}/extras/title_performance.png[/img]
[h2][/h2]
Wallpaper Engineは使用するシステムリソースを最小限に抑えつつ、エンターテイメント性の高い体験の提供を目指しています。Wallpaper Engineではゲームプレイや作業の妨げにならないよう、他アプリケーション使用時や全画面表示時または仮想フルスクリーン利用時においては、壁紙を自動的に一時停止または完全に停止させることが可能です。また、性能やパフォーマンスを調整できる機能が多く用意されており、Wallpaper Engineとお使いのPCとの互換性を高めやすい環境が整っています。基本的に3D、2Dならびに動画ベースの壁紙のパフォーマンスが最も高く、ウェブサイトやアプリケーションを利用する際には多くのシステムリソースが必要になります。必須ではありませんが、専用GPUを準備されることを推奨します。
[h2][/h2]
[img]{STEAM_APP_IMAGE}/extras/title_workshop.png[/img]
[h2][/h2]
Steamワークショップには日々新しい壁紙がアップロードされ、100万を超える中から好きな壁紙を無料で選ぶことができます。お気に入りの壁紙が見つからない場合でも心配無用。Wallpaper Engineエディタを使って想像力を大いに働かせてみてください。画像、動画、ウェブサイトまたはアプリケーションを利用し、動く要素が追加された壁紙を作成することが可能です。多種多様なプリセットやエフェクトを使って自分だけの動く壁紙を作ってみてください。作成した壁紙は自分で使用するのも結構ですが、Steamワークショップで共有することも可能です。"
"description_image_features","機能"
"description_image_performance","パフォーマンス"
"screenshot_text_customization","壁紙のカスタマイズ"
"screenshot_text_performance","パフォーマンスを微調整する幅広いオプション"
"screenshot_text_images","独自のイメージを動かす"
"screenshot_text_tools","動画を作成する数多くのツール"
"screenshot_text_presets","プリセットエフェクトを簡単に追加"
"screenshot_text_effects","自分だけの複雑なエフェクトを作成"
"additional_notes_recommended","本モバイルアプリはAndroid 8.1以降が必要です"
"ssa_addendum","Steam® 利用規約で定められた各規約に同意することに加え、あなたのSteamワークショップのコンテンツを利用するユーザーが、あなたのコンテンツを互換性のあるモバイルデバイスにエクスポートおよび転送できることに同意するものとします。あなたのSteamワークショップのコンテンツを利用するエンドユーザーは、あなたがアップロードしたコンテンツを壁紙として個人のモバイルデバイスで使用することができます。あなたがアップロードしたワークショップのコンテンツは、前述のモバイルデバイスへの技術的な互換性を実現する目的で、個人エンドユーザーのシステム上で変更および最適化される場合があることに同意するものとします。"
